"id";"Liga";"Data";"Home";"Away";"golHome";"golAway";"totalGols";"resultado";"golHomeHT";"golawayHT";"resultadoHT";"escanteioHome";"escanteioAway";"totalCantos";"cardAmareloHome";"cardAmareloAway";"cardRedHome";"cardRedAway";"totalgolHT";"total_cartao"
"265267";"Premier League";"2023-12-24";"Wolves";"Chelsea";"2";"1";"3";"H";"0";"0";"D";"10";"6";"16";"3";"5";"0";"0";"0";"8"
"265268";"Premier League";"2023-12-23";"West Ham";"Man United";"2";"0";"2";"H";"0";"0";"D";"4";"4";"8";"2";"3";"0";"0";"0";"5"
"265269";"Premier League";"2023-12-23";"Fulham";"Burnley";"0";"2";"2";"A";"0";"0";"D";"8";"6";"14";"2";"1";"0";"0";"0";"3"
"265270";"Premier League";"2023-12-23";"Luton";"Newcastle";"1";"0";"1";"H";"1";"0";"H";"6";"7";"13";"2";"1";"0";"0";"1";"3"
"265271";"Premier League";"2023-12-23";"Nott'm Forest";"Bournemouth";"2";"3";"5";"A";"0";"0";"D";"6";"6";"12";"0";"3";"1";"0";"0";"4"
"265272";"Premier League";"2023-12-23";"Tottenham";"Everton";"2";"1";"3";"H";"2";"0";"H";"3";"8";"11";"1";"4";"0";"0";"2";"5"
"265273";"Premier League";"2023-12-23";"Liverpool";"Arsenal";"1";"1";"2";"D";"1";"1";"D";"4";"5";"9";"2";"5";"0";"0";"2";"7"
"265274";"Serie A";"2023-12-23";"Frosinone";"Juventus";"1";"2";"3";"A";"0";"1";"A";"8";"8";"16";"0";"2";"0";"0";"1";"2"
"265275";"Serie A";"2023-12-23";"Bologna";"Atalanta";"1";"0";"1";"H";"0";"0";"D";"2";"3";"5";"2";"4";"0";"0";"0";"6"
"265276";"Serie A";"2023-12-23";"Torino";"Udinese";"1";"1";"2";"D";"0";"0";"D";"8";"2";"10";"2";"2";"0";"0";"0";"4"
"265277";"Serie A";"2023-12-23";"Inter";"Lecce";"2";"0";"2";"H";"1";"0";"H";"16";"2";"18";"1";"3";"0";"1";"1";"5"
"265278";"Serie A";"2023-12-23";"Verona";"Cagliari";"2";"0";"2";"H";"0";"0";"D";"11";"7";"18";"3";"4";"0";"1";"0";"8"
"265279";"Serie A";"2023-12-23";"Roma";"Napoli";"2";"0";"2";"H";"0";"0";"D";"4";"0";"4";"7";"4";"0";"2";"0";"13"
"265280";"Liga Portugal";"2023-12-23";"Guimaraes";"Rio Ave";"1";"0";"1";"H";"0";"0";"D";"4";"8";"12";"4";"3";"0";"0";"0";"7"
"265281";"Liga Portugal";"2023-12-23";"Vizela";"Moreirense";"0";"0";"0";"D";"0";"0";"D";"3";"9";"12";"3";"1";"0";"0";"0";"4"
"265282";"LaLiga";"2023-12-23";"Ath Madrid";"Sevilla";"1";"0";"1";"H";"0";"0";"D";"6";"5";"11";"7";"3";"1";"0";"0";"11"
"265283";"Premier League";"2023-12-22";"Aston Villa";"Sheffield United";"1";"1";"2";"D";"0";"0";"D";"9";"1";"10";"3";"3";"0";"0";"0";"6"
"265284";"Serie A";"2023-12-22";"Empoli";"Lazio";"0";"2";"2";"A";"0";"1";"A";"8";"9";"17";"3";"2";"0";"0";"1";"5"
"265285";"Serie A";"2023-12-22";"Sassuolo";"Genoa";"1";"2";"3";"A";"1";"0";"H";"3";"6";"9";"2";"1";"0";"0";"1";"3"
"265286";"Serie A";"2023-12-22";"Monza";"Fiorentina";"0";"1";"1";"A";"0";"1";"A";"1";"4";"5";"3";"4";"0";"0";"1";"7"
"265287";"Serie A";"2023-12-22";"Salernitana";"Milan";"2";"2";"4";"D";"1";"1";"D";"6";"6";"12";"3";"1";"1";"0";"2";"5"
"265288";"Premier League";"2023-12-21";"Crystal Palace";"Brighton";"1";"1";"2";"D";"1";"0";"H";"3";"1";"4";"5";"2";"0";"0";"1";"7"
"265289";"LaLiga";"2023-12-21";"Betis";"Girona";"1";"1";"2";"D";"0";"1";"A";"7";"6";"13";"2";"2";"0";"0";"1";"4"
